appid,name,price
19830,Tom Clancy's Rainbow Six® 3 Gold,4.29
19900,Far Cry® 2: Fortune's Edition,8.59
19980,Prince of Persia®,8.59
20200,Galactic Bowling,13.99
20510,S.T.A.L.K.E.R.: Clear Sky,7.99
20530,Red Faction,4.99
20540,Company of Heroes: Tales of Valor,9.99
20550,Red Faction II,4.99
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",14.99
20700,Starscape,5.99
20710,Mr. Robot,5.99
20820,Shatter,6.99
20900,The Witcher: Enhanced Edition Director's Cut,6.99
20920,The Witcher 2: Assassins of Kings Enhanced Edition,14.99
21000,LEGO® Batman™: The Videogame,14.99
21010,Watchmen: The End is Nigh,3.99
21030,Watchmen: The End is Nigh Part 2,3.99
21090,F.E.A.R.,35.96
21100,F.E.A.R. 3,12.99
21130,LEGO® Harry Potter: Years 1-4,9.99
21300,Gravitron 2,2.99
21400,Project Aftermath,4.79
21500,Pyroblazer®,4.99
21640,Flock!,3.49
21660,Street Fighter® IV,13.99
21670,Bionic Commando,6.49
21680,Bionic Commando: Rearmed,6.49
21690,Resident Evil™ 5/ Biohazard 5®,13.99
21780,Driver® Parallel Lines,8.59
21800,Tom Clancy's EndWar™,8.59
21980,Call of Juarez®: Bound in Blood,8.59
22000,World of Goo,6.99
22100,Mount & Blade,7.99
22120,Penumbra: Black Plague Gold Edition,0.0
22130,Hearts of Iron 2 Complete,9.99
22180,Penumbra Overture,0.0
22200,Zeno Clash,6.99
22230,Rock of Ages,6.99
22300,Fallout 3,7.99
22310,Rogue Warrior,3.99
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,12.99
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,12.99
22350,BRINK,0.0
22370,Fallout 3: Game of the Year Edition,14.99
22380,Fallout: New Vegas,7.99
22450,Hunted: The Demon’s Forge™,3.99
22500,Spectromancer,5.99
22600,Worms Reloaded,14.99
22610,Alien Breed: Impact,6.99
22650,Alien Breed 2: Assault,6.99
22670,Alien Breed 3: Descent,6.99
23150,Fluttabyes,1.59
23300,Yosumin!™,3.99
23380,Gyromancer,3.99
23400,Imperium Romanum Gold Edition,7.99
23420,Europa Universalis: Rome - Gold Edition ,7.99
23450,Grand Ages: Rome,6.99
23460,Ceville,4.79
23490,Tropico 3,7.99
23500,Puzzle Quest: Galactrix,6.99
23530,Earth Defense Force: Insect Armageddon,6.99
23600,Depths of Peril,6.99
23700,Puzzle Kingdoms,10.99
24010,Train Simulator 2019,34.99
24200,DC Universe™ Online,0.0
24240,PAYDAY™ The Heist,10.99
24400,King Arthur - The Role-playing Wargame,7.99
24410,Crusaders: Thy Kingdom Come,6.99
